profile_url,likes,comments,timestamp,type,caption,url,shortcode
https://www.instagram.com/nasa,185200,620,2026-05-18T12:00:00Z,Image,"A view of the brilliant Aurora Borealis dancing over North America. Taken by astronauts aboard the International Space Station, this stunning green glow represents solar wind colliding with atmospheric oxygen. What parts of our universe inspire you today? #aurora #nasa #space #science",https://www.instagram.com/p/C7H2Bv9u2j5/,C7H2Bv9u2j5
https://www.instagram.com/nasa,154100,540,2026-05-17T14:30:00Z,Video,"Staring into the heart of the Orion Nebula. Captured using our James Webb Space Telescope's Near-Infrared Camera (NIRCam), this video reveals hundreds of baby stars nestled in deep dust shells. Science is just beginning to understand star births in this nursery. #jwst #nebula #stars #space #science #nasa",https://www.instagram.com/p/C7Fc8v2u5k8/,C7Fc8v2u5k8
https://www.instagram.com/nasa,139000,495,2026-05-15T09:15:00Z,Carousel,"Meet the crew of Artemis II. These brave four astronauts are preparing for a historic flight around the Moon, marking the first time humans will visit our celestial neighbor in over 50 years. Swipe to learn more about each explorer, their training journey, and their mission milestones. #artemis #moon #exploration #space #nasa",https://www.instagram.com/p/C7C15v7u8m3/,C7C15v7u8m3
https://www.instagram.com/nasa,124000,410,2026-05-13T16:45:00Z,Image,A crescent Earth as seen from lunar orbit during our Artemis I uncrewed flight. The absolute silent isolation of our home planet framed against the deep black abyss of space is a humbling reminder of our fragile existence. Protect our sphere. #artemis #earth #photography #space #nasa,https://www.instagram.com/p/C6903v4u9n4/,C6903v4u9n4
https://www.instagram.com/nasa,118000,390,2026-05-11T11:00:00Z,Image,"Mars Curiosity rover captures ancient clay-rich layers inside Gale Crater. These mineral patterns prove liquid water persisted on Mars for millions of years, potentially creating habitable lake environments in Mars' warm ancient past. #mars #curiosity #rover #science #space #nasa",https://www.instagram.com/p/C67X2v5u1o5/,C67X2v5u1o5
https://www.instagram.com/nasa,112000,380,2026-05-09T08:20:00Z,Image,The rings of Saturn glowing in infrared light. This spectacular view reveals the heat structures hidden in the gas giant's complex cloud belts and icy particles. Captured during Saturn's late northern summer. #saturn #space #science #nasa,https://www.instagram.com/p/C64v1v3u2p6/,C64v1v3u2p6
https://www.instagram.com/nasa,131000,460,2026-05-07T13:10:00Z,Video,A dynamic look at solar flares erupting from the active region of our sun. This high-fidelity visualization highlights magnetic reconnection processes studied by our solar dynamics observatory. #sun #science #space #nasa,https://www.instagram.com/p/C62h1v3u4q7/,C62h1v3u4q7
https://www.instagram.com/nasa,142000,510,2026-05-05T15:40:00Z,Carousel,Explore the violent stellar winds of active star formation clusters in the Milky Way. Infrared imagery from Webb Space Telescope strips away cosmic dust lanes. #jwst #milkyway #space #science #nasa,https://www.instagram.com/p/C60b1v3u5r8/,C60b1v3u5r8
https://www.instagram.com/nasa,129000,450,2026-05-03T10:30:00Z,Image,Supermassive black hole at the center of nearby spiral galaxy M87 actively consuming matter. This high-resolution visualization merges infrared and X-ray channels to model thermal jets. #blackhole #galaxy #science #space #nasa,https://www.instagram.com/p/C6yv1v3u6s9/,C6yv1v3u6s9
https://www.instagram.com/nasa,98000,310,2026-05-01T17:15:00Z,Image,Pre-launch final assembly checks of the Europa Clipper spacecraft at Kennedy Space Center. Clipper will investigate Europa's subterranean ocean under icy crusts. #europaclipper #europa #science #space #nasa,https://www.instagram.com/p/C6wv1v3u7t0/,C6wv1v3u7t0
